Sunitinib (SG),Sunitinib (SLG),Pembrolizumab + Axitinib (SG),Pembrolizumab + Axitinib (SLG),Pembrolizumab + Lenvatinib (SG),Pembrolizumab + Lenvatinib (SLG),Nivolumab + Cabozantinib (SG),Nivolumab + Cabozantinib (SLG),Nivolumab + Ipilimumab (SG),Nivolumab + Ipilimumab (SLG),Avelumab + Axitinib (SG),Avelumab + Axitinib (SLG)
1,1,1,1,1,1,1,1,1,1,1,1
0.9979229,0.98184,0.9948696,0.9914387,0.9871639,0.9858336,0.99261,0.99491,0.985436,0.991195,0.99356,0.98753
0.9731396,0.9397878,0.9935685,0.9768003,0.9814052,0.9421833,0.97747,0.96776,0.969958,0.945076,0.9854,0.9173
0.9538209,0.7913045,0.9846835,0.8659409,0.975575,0.9276577,0.9684,0.91221,0.953457,0.811576,0.9739,0.87384
0.9398024,0.7715722,0.9732868,0.8546173,0.9726272,0.895582,0.95022,0.88728,0.940619,0.729574,0.96493,0.84863
0.9135931,0.718706,0.9589614,0.7947111,0.9697044,0.8884276,0.9423,0.84069,0.919488,0.690405,0.95514,0.79829
0.8925412,0.6642928,0.953564,0.7469198,0.9697044,0.8479394,0.93605,0.7984,0.885979,0.637025,0.94783,0.74217
0.8819096,0.6335186,0.9467528,0.7098417,0.9645859,0.8420966,0.91998,0.72598,0.873384,0.589643,0.92915,0.69997
0.8546976,0.6084754,0.9316608,0.6964734,0.96029,0.8106915,0.9109,0.71066,0.85369,0.557456,0.9115,0.66678
0.8414717,0.5573374,0.9266168,0.6717624,0.9441883,0.7917812,0.89577,0.6835,0.836266,0.536684,0.90118,0.63122
0.812918,0.5217256,0.9143741,0.6349028,0.9294829,0.7537239,0.89275,0.63184,0.826839,0.522531,0.88862,0.58524
0.8014194,0.5121876,0.9042834,0.6206928,0.9235929,0.7415469,0.88038,0.62035,0.808032,0.503228,0.87025,0.56336
0.7912758,0.4826601,0.8940901,0.6033567,0.910312,0.7091835,0.85617,0.57972,0.798293,0.493322,0.85925,0.54125
0.7744791,0.4392449,0.865714,0.5532634,0.9045368,0.6777623,0.83836,0.55352,0.78316,0.488738,0.84307,0.50969
0.7689511,0.4394243,0.8573296,0.5472104,0.8826797,0.655127,0.82919,0.53822,0.774996,0.470869,0.82915,0.49291
0.7570541,0.4334681,0.8427941,0.5275111,0.8826796,0.6243881,0.81708,0.53829,0.763297,0.459748,0.81624,0.48328
0.7452057,0.4057383,0.8369473,0.5041074,0.873904,0.6142688,0.81138,0.51711,0.757087,0.444809,0.80354,0.46184
0.7305544,0.4023868,0.8263131,0.4994175,0.8680536,0.5828213,0.79779,0.49287,0.743218,0.428941,0.7911,0.44305
0.7198008,0.3627374,0.8100157,0.4731493,0.8680536,0.5725965,0.78985,0.47478,0.739849,0.424645,0.78143,0.43154
0.7153843,0.3386825,0.8036547,0.457222,0.8562057,0.5616412,0.78077,0.46871,0.725861,0.417562,0.76657,0.41758
0.7019614,0.3342037,0.7878871,0.4571553,0.8468454,0.5616397,0.76399,0.43929,0.708758,0.405146,0.75672,0.41057
0.6907772,0.3029016,0.7801708,0.4236346,0.8322199,0.5543623,0.75053,0.43244,0.694198,0.395028,0.7424,0.37726
0.6765649,0.3004023,0.7701464,0.4224301,0.8205536,0.5484419,0.73174,0.41172,0.683517,0.376064,0.7177,0.36973
0.6673557,0.3006629,0.7672273,0.4223964,0.8054829,0.5046737,0.71419,0.39685,0.67845,0.374506,0.69735,0.36611
0.6613773,0.2705753,0.7421518,0.3824938,0.8008615,0.4891767,0.7,0.39513,0.662903,0.374201,0.68868,0.32795
0.6491563,0.2537183,0.7354343,0.3788909,0.7974646,0.4820328,0.69618,0.37026,0.65285,0.369038,0.67274,0.3227
0.6380339,0.2555264,0.7253558,0.3788359,0.786147,0.4674258,0.68999,0.34695,0.643271,0.367013,0.6653,0.31621
0.6280251,0.2403143,0.7164768,0.3467132,0.7694273,0.4674257,0.67791,0.33995,0.627029,0.364937,0.65783,0.29711
0.6145789,0.2303926,0.6897842,0.3364401,0.7525108,0.4352647,0.68377,0.32833,0.615565,0.364881,0.64988,0.2916
0.6111218,0.2169664,0.6837161,0.3298598,0.7437358,0.4194317,0.66882,0.31148,0.611156,0.359625,0.64212,0.27555
0.5965425,0.2023113,0.6763237,0.3185608,0.740075,0.3943904,0.66466,0.31183,0.59363,0.357665,0.6286,0.2651
0.5963849,0.2023111,0.6628274,0.3194854,0.7277296,0.3944459,0.6508,0.26516,0.583407,0.357673,0.60846,0.25523
0.5904522,0.1913232,0.644698,0.3026515,0.7166353,0.3881213,0.63143,0.25394,0.574837,0.353522,0.60557,0.24805
0.5722494,0.1732396,0.6394494,0.2984369,0.6849431,0.3719436,0.61927,0.25373,0.56863,0.353055,0.59516,0.24533
0.532955,0.1503263,0.6308387,0.2980236,0.6705825,0.3710192,0.61828,0.2389,0.559561,0.354174,0.58511,0.24539
0.5109013,0.1503263,0.6316587,0.2974926,0.6533674,0.3710192,0.58931,0.2389,0.556248,0.354846,0.5813,0.21891
